news,label_1,label_2
The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone,1,FALSE
"Social media posts shared thousands of times and retweeted by President Donald Trump claim the U.S Centers for Disease Control and Prevention cut the national COVID-19 death toll by 94%, citing a CDC comorbidity chart.",0,FALSE
"The CDC updated the COVID-19 number to admit that only 6% of all the 153,504 deaths recorded actually died from COVID-19.",0,FALSE
"Either masks work or they donâ€™t; if masks work, then physical distancing and lockdowns are unnec",1,FALSE
"The RT-PCR test for the virus that causes COVID-19 detects human DNA on chromosome 8, therefore all tests will give a positive result",1,FALSE
The Governor of Maine has ordered restaurant staff to wear dog cone-style face visors as a precautionary measure against COVID-19.,0,FALSE
The greatest trick the U.S. CDC ever pulled was convincing the world you can be sick without having symptoms.,0,FALSE
"The survival rate of COVID-19 is close to 100% without a vaccine, so what exactly will the purpose of the new vaccine be?",0,FALSE
Misleading claims about COVID-19 vaccine spread by â€˜Plandemic�,1,FALSE
"Photos show Democratic presidential nominee Joe Biden and his running mate, Sen. Kamala Harris, are not abiding by public health recommendations regarding face masks.",0,FALSE
"Facebook posts shared tens of thousands of times during the Democratic National Convention criticize Joe Biden, Kamala Harris, and other top Democrats for appearing in a crowd without masks.",0,FALSE
"Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths.",1,FALSE
The overall lethality of COVID-19 (infection fatality rate) is about 0.1% to 0.3% and thus in the range of a severe influenza; up to 60% of all persons may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses (i.e. cold viruses); there is still little to no scientific evidence for the effectiveness of cloth face masks in healthy and asymptomatic individuals,1,FALSE
Our chance of not dying from COVID-19 is 99.96%,0,FALSE
Would you take a vaccine with a 33% death rate to feel safe from a virus with a 0.06% death rate?,0,FALSE
"Sweden has a lower COVID-19 death rate than Spain, Italy and the U.K., even though it never had a lockdown",0,FALSE
"A large, country-randomized controlled trial with 2.7 billion people shows that COVID-19 patients treated with hydroxychloroquine have a 79.1% lower death rate",0,FALSE
"Posts shared thousands of times on social media claim Legionnairesâ€™ disease, a serious type of pneumonia, can be contracted through reusable face masks, implying that it could be mistaken for CO",1,FALSE
Social media posts shared thousands of times attribute comments criticizing coronavirus measures to Fox News host Tucker Carlson.,1,FALSE
An image appearing to be an publication by the World Health Organization (WHO) shows that the global health body does not recommend mask-wearing during the COVID-19 pandemic.,0,FALSE
"If masks were effective and necessary, non-mask wearers should be dead by now",1,FALSE
A Facebook post shared thousands of times claims the United States has reached herd immunity for COVID-19.,0,FALSE
"We canâ€™t make a vaccine that works for flu, no vaccine for the respiratory syncytial virus (RSV), and we canâ€™t cure cancer. Yet somehow scientists can make a vaccine for COVID-19 ",1,FALSE
"Hydroxychloroquine, azithromycin and zinc cure COVID-19",1,FALSE
"Facebook posts shared thousands of times claim Washingtonâ€™s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a â€œhigh-riskâ€ state f",1,FALSE
"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",0,FALSE
"The truck depicting the god of death Anubis is aimed at testing and then infecting people, which eventually ends with human microchipping.",1,FALSE
A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures CO,0,FALSE
"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people donâ€™t need to wear masks or practice physical distancing in a Breitbart video featuring a group called Americaâ€™s Fron",0,FALSE
Wearing a face mask to slow the spread of COVID-19 could cause Legionnairesâ€™ d,1,FALSE
The nasal swab test for COVID-19 damages the â€œblood-brain barrierâ€ and can therefore lead to brain,0,FALSE
The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida.,0,FALSE
A Facebook video claims that a new oral spray â€œdeactivates 98% of the coronavirusâ€ in the mouth. This effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the SARS-,1,FALSE
5G generates the coronavirus SARS-CoV-2 in human skin cells.,0,FALSE
A mobile COVID-19 testing station bears a logo that depicts an ancient deity of death.,0,FALSE
"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",0,FALSE
Facebook posts shared thousands of times claim that the US Federal Emergency Management Agency (FEMA) is offering hazard pay compensation to individuals who worked during the novel coronavirus pandemic.,0,FALSE
5G technology creates coronavirus in human cells,0,FALSE
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of ,0,FALSE
Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,1,FALSE
"Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the â€œWuhan lab in ",1,FALSE
"A photo claims to show Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.",1,FALSE
Claim that Secretary of Education Betsy DeVos said â€˜onlyâ€™ .02% of kids are likely to die when they go back to school during ,1,FALSE
The U.S. government has approved a second round of coronavirus stimulus payments to everyone who signs up â€” and that the money will be forthcoming in â€œ5-7 bu,0,FALSE
Deaths from COVID-19 are nearing zero in the U.S.,1,FALSE
Using nasopharyngeal swabs for COVID-19 testing is unnecessary; saliva samples from mouth swabs is an equivalent substitute,0,FALSE
Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian cityâ€™s response to the coronavirus pa,0,FALSE
Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,0,FALSE
A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,0,FALSE
No one has died from the coronavirus; there are no antibodies that identify SARS-CoV-2; pathologists have no means of verifying whether a person was infected with SARS-CoV-2; SARS-CoV-2 has not fulfilled Kochâ€™s post,1,FALSE
"Infant deaths decreased dramatically during the lockdown, when the number of vaccines administered was reduced; vaccines are a cause of sudden infant death syndrome",1,FALSE
